EXERCÍCIO,CÓDIGO ÓRGÃO SUPERIOR,NOME ÓRGÃO SUPERIOR,CÓDIGO ÓRGÃO SUBORDINADO,NOME ÓRGÃO SUBORDINADO,CÓDIGO UNIDADE ORÇAMENTÁRIA,NOME UNIDADE ORÇAMENTÁRIA,CÓDIGO FUNÇÃO,NOME FUNÇÃO,CÓDIGO SUBFUNÇÃO,NOME SUBFUNÇÃO,CÓDIGO PROGRAMA ORÇAMENTÁRIO,NOME PROGRAMA ORÇAMENTÁRIO,CÓDIGO AÇÃO,NOME AÇÃO,CÓDIGO CATEGORIA ECONÔMICA,NOME CATEGORIA ECONÔMICA,CÓDIGO GRUPO DE DESPESA,NOME GRUPO DE DESPESA,CÓDIGO ELEMENTO DE DESPESA,NOME ELEMENTO DE DESPESA,ORÇAMENTO INICIAL (R$),ORÇAMENTO ATUALIZADO (R$),ORÇAMENTO EMPENHADO (R$),ORÇAMENTO REALIZADO (R$),% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)
2026,3000,Tribunal de Contas da União,3000,Tribunal de Contas da União - Unidades com vínculo direto,3101,TRIBUNAL DE CONTAS DA UNIAO,1,Legislativa,32,Controle externo,34,PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO,4018,FISCALIZACAO DA APLICACAO DOS RECURSOS PUBLICOS FEDERAIS,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,40,Serviços de Tecnologia da Informação e Comunicação,0.0,0.0,39.42,0.0,0.0
2026,3000,Tribunal de Contas da União,3000,Tribunal de Contas da União - Unidades com vínculo direto,3101,TRIBUNAL DE CONTAS DA UNIAO,1,Legislativa,32,Controle externo,34,PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO,4018,FISCALIZACAO DA APLICACAO DOS RECURSOS PUBLICOS FEDERAIS,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,0.0,0.0,293572.35,0.0,0.0
2026,20000,Presidência da República,20415,Empresa Brasil de Comunicação,20415,EMPRESA BRASIL DE COMUNICACAO,28,Encargos especiais,846,Outros encargos especiais,901,OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0022,SENTENCAS JUDICIAIS DEVIDAS POR EMPRESAS ESTATAIS,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,91,Sentenças Judiciais,150000.0,150000.0,27627.66,27627.66,18.42
2026,20000,Presidência da República,20101,Presidência da República,20118,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,6,Segurança pública,846,Outros encargos especiais,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,09HB,"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS",3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,13,Obrigações Patronais,58642969.0,58642969.0,58642969.0,46339.72,0.08
2026,20000,Presidência da República,20415,Empresa Brasil de Comunicação,20415,EMPRESA BRASIL DE COMUNICACAO,4,Administração,722,Telecomunicações,4101,COMUNICACAO PUBLICA E GOVERNAMENTAL,20B5,FORTALECIMENTO DO SISTEMA PUBLICO DE RADIODIFUSAO E COMUNICACAO,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,0,Não informado,127762363.43,127762363.43,0.0,0.0,0.0
2026,20000,Presidência da República,20101,Presidência da República,20118,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,6,Segurança pública,331,Proteção e benefícios ao trabalhador,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES",3,DESPESAS CORRENTES,3,Outras Despesas Correntes,4,Contratação por Tempo Determinado,78207.92,78207.92,78207.92,8225.0,10.52
2026,20000,Presidência da República,20101,Presidência da República,20101,PRESIDENCIA DA REPUBLICA,4,Administração,126,Tecnologia da informação,4102,SEGURANCA INSTITUCIONAL,21AP,SEGURANCA DA INFORMACAO E CIBERSEGURANCA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,33,Passagens e Despesas com Locomoção,22500.0,22500.0,22500.0,0.0,0.0
2026,20000,Presidência da República,20101,Presidência da República,20101,PRESIDENCIA DA REPUBLICA,4,Administração,122,Administração geral,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,216H,AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,0,Não informado,6313904.0,6313904.0,0.0,0.0,0.0
2026,20000,Presidência da República,20415,Empresa Brasil de Comunicação,20415,EMPRESA BRASIL DE COMUNICACAO,28,Encargos especiais,846,Outros encargos especiais,901,OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0022,SENTENCAS JUDICIAIS DEVIDAS POR EMPRESAS ESTATAIS,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,147.94,147.94,147.94,147.94,100.0
2026,20000,Presidência da República,20415,Empresa Brasil de Comunicação,20415,EMPRESA BRASIL DE COMUNICACAO,4,Administração,722,Telecomunicações,4101,COMUNICACAO PUBLICA E GOVERNAMENTAL,20B5,FORTALECIMENTO DO SISTEMA PUBLICO DE RADIODIFUSAO E COMUNICACAO,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,92,Despesas de Exercícios Anteriores,2291765.81,2291765.81,2291765.81,2291765.81,100.0
